hotelId,Hotel_name,Address,City,Latitude,Longitude,Property_type,Room_status,Price,Currency,Rating,Final_rating
OIWJQGBZ,Premium 033 New Friends Colony,CV Raman Marg,Unknown,,,hotel,,3599,INR,141,1.6
OIKFHEGK,Premium 160 Saket Metro Station,Saket,Unknown,,,hotel,,2049,INR,141,1.6
OIWKHFAJ,Rooms 030 IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",Unknown,,,hotel,,1949,INR,34,1.1
OIQOYHEK,Rooms 142 Connaught Place 1,Connaught Circus,Unknown,,,hotel,,1149,INR,35,1.1
OIJAWYYY,Rooms 257 Rajendra Place PUSA Circle,East Patel Nagar,Unknown,,,hotel,,1749,INR,428,2.7
OICFLGAN,Rooms 171 IGI Airport NH8,"National Highway 8, Near IGI Domestic Airport, Mahipalpur",Unknown,,,hotel,,1849,INR,394,2.6
OIHHJLPS,Rooms 080 Executive IGI Airport,"Mahipalpur Extn, Near Airport, National Highway -8",Unknown,,,hotel,,2699,INR,621,3.5
OITUXOBD,Premium 182 Siri Fort Sports Complex,Anand Lok,Unknown,,,hotel,,3199,INR,158,1.6
OIMJKGVI,Rooms 118 Vasant Vihar,Vasant vihar,Unknown,,,hotel,,2699,INR,42,1.2
OIYOKCJY,Rooms 457 Azadpur Mandi Extension,Adarsh Nagar,Unknown,,,hotel,,3799,INR,61,1.2
OITCEBUH,Rooms 183 Opp IGI Airport Main Road,"N.H. 8, Near IGI Airport Road No. 1, Mahipalpur Extension , Mahipalpur",Unknown,,,hotel,,3299,INR,8,1.0
OITURBKS,Premium 207 Greater Kailash 1,Greater Kailash 1,Unknown,,,hotel,,2499,INR,80,1.3
OIKYORSS,Homes 380 GTB Nagar,Kingsaway,Unknown,,,hotel,,2349,INR,343,2.4
OIADZQEZ,Rooms 680 Jasola Pocket 1,Jasola Vihar,Unknown,,,hotel,,2299,INR,5,1.0
OIUHEUQH,Premium 292 Lajpat Nagar Main Road,Lajpat Nagar 4,Unknown,,,hotel,,1849,INR,334,2.3
OISOYVTX,Rooms 144 CR Park,Outer Ring Road,Unknown,,,hotel,,1799,INR,55,1.2
OIPYOZDF,Rooms 098 South Delhi,"Opposite Karnataka Bank, Kalkaji",Delhi,,,hotel,,1349,INR,195,1.8
OIAMKDNW,Apartments 273 Dwarka Sector 12,Dwarka,Unknown,,,hotel,,1449,INR,209,1.8
OIHBCFFE,Rooms 616 NDLS Gate Number 2,Desh Bandhu Gupta Road,Unknown,,,hotel,,1499,INR,74,1.3
OINXTHIH,Rooms 195 Patel Nagar Metro Station,East Patel Nagar,Unknown,,,hotel,,4649,INR,245,2.0
OIWMTRMY,Rooms 128 Paschim Vihar District Park,Bhera Enclave,Unknown,,,hotel,,1649,INR,260,2.0
OIPWRKOP,Rooms 613 Kirti Nagar-B&B,Kirti Nagar,Unknown,,,hotel,,1649,INR,604,3.4
OIQCWZLM,Rooms 006 New Friends Colony,Near Bank of Baroda,Unknown,,,hotel,,3999,INR,3,1.0
